"value","mean","sd","lower","median","upper","mode","kld","group","effect"
0.0153320124364631,-1.07324814796448,0.0929646715521812,-1.2569401304725,-1.07287288398513,-0.891787469900713,-1.07210028171539,3.61509631387362e-08,1,"flushany_g"
0.0373352465088772,-1.00750911235809,0.0739847868680954,-1.1531508826178,-1.0073840347086,-0.86268812950204,-1.00712275505066,1.26825294265306e-08,1,"flushany_g"
0.0619846826209577,-0.933736085891724,0.0600501038134098,-1.05173999088742,-0.933703822437712,-0.816017956078618,-0.933633148670197,1.87991674387874e-08,1,"flushany_g"
0.0878881295714085,-0.861076831817627,0.0520236305892467,-0.963198825588622,-0.861089644834554,-0.758978970270642,-0.861110389232635,1.22183420209512e-07,1,"flushany_g"
0.112305549039023,-0.797459900379181,0.048071775585413,-0.89161275895745,-0.797549283359304,-0.702902972525491,-0.797724723815918,2.96219050653218e-07,1,"flushany_g"
0.138158497950939,-0.738170742988586,0.0455263704061508,-0.82714180620257,-0.738325055858066,-0.648435000449689,-0.738633930683136,4.73853169758081e-07,1,"flushany_g"
0.162446335535978,-0.688242793083191,0.0438091941177845,-0.773683170352576,-0.688450513466547,-0.601740030409917,-0.688869595527649,5.95634693014376e-07,1,"flushany_g"
0.187919729011286,-0.643385946750641,0.0423209592700005,-0.725788932859154,-0.643632458518054,-0.559700602030391,-0.644130647182465,6.10680896590856e-07,1,"flushany_g"
0.212705242922055,-0.612417697906494,0.0408081412315369,-0.692026645331805,-0.612607421444492,-0.531839683949993,-0.612987518310547,4.04816081052675e-07,1,"flushany_g"
0.237898775888179,-0.591654002666473,0.0395226962864399,-0.669222434093951,-0.591682333646067,-0.514005274795254,-0.591734170913696,1.4140167375457e-07,1,"flushany_g"
0.262605986956987,-0.57299393415451,0.0389531478285789,-0.649972961201353,-0.572839194227353,-0.496939289958949,-0.572521328926086,8.94347975163151e-09,1,"flushany_g"
0.28791637858892,-0.547109186649323,0.0386666767299175,-0.623859805024091,-0.546834019256523,-0.471938846826253,-0.546270787715912,3.2310790070995e-08,1,"flushany_g"
0.312396766586781,-0.513087570667267,0.0381954461336136,-0.589003868242071,-0.512778105240874,-0.438936187101958,-0.512143969535828,9.5316583954952e-08,1,"flushany_g"
0.338895532920316,-0.465252876281738,0.0372704043984413,-0.539198041948126,-0.464998822189073,-0.392766540638216,-0.46447628736496,8.51999877636372e-08,1,"flushany_g"
0.364,-0.412504851818085,0.0363585315644741,-0.484418546370797,-0.412337934750795,-0.341570906265468,-0.41199117898941,3.98329437880318e-08,1,"flushany_g"
0.387875410630923,-0.359426349401474,0.0357616394758224,-0.429981196079891,-0.359327284653334,-0.289479846803499,-0.359118491411209,1.03292669636531e-08,1,"flushany_g"
0.411543618594014,-0.304716557264328,0.0354785472154617,-0.374552297582834,-0.304677232957613,-0.235164087663279,-0.304591119289398,3.69485975135184e-09,1,"flushany_g"
0.436777653665651,-0.245491072535515,0.0353240445256233,-0.314863834647715,-0.245508758329768,-0.176092091338345,-0.245540827512741,2.2828996182299e-08,1,"flushany_g"
0.462397551765164,-0.182569518685341,0.0351860895752907,-0.251366751499702,-0.182689521694949,-0.113182770321161,-0.182929575443268,7.30335777457356e-08,1,"flushany_g"
0.487027284304438,-0.124829702079296,0.0351894125342369,-0.19341493884856,-0.125021338550834,-0.0552583951600556,-0.125407010316849,1.23524370197341e-07,1,"flushany_g"
0.512579354402128,-0.0716159865260124,0.0351183339953423,-0.140062518460785,-0.0718068674122869,-0.00218776318742746,-0.0721916183829308,1.15545942763864e-07,1,"flushany_g"
0.536813615871863,-0.0280532911419868,0.0350337736308575,-0.0965720509363445,-0.0281663457191695,0.0410144729075805,-0.0283946879208088,5.47206859972018e-08,1,"flushany_g"
0.562093778146708,0.0141202043741941,0.0350449346005917,-0.0547848559465909,0.0141285599791016,0.0829022278509326,0.0141433840617537,1.12154282278252e-08,1,"flushany_g"
0.588401118800893,0.0617999546229839,0.0350332148373127,-0.00728645636363776,0.0618791076583354,0.130374990843647,0.0620368793606758,6.17216549843037e-09,1,"flushany_g"
0.613057721278969,0.111725114285946,0.0350211933255196,0.0426430871311246,0.111811835141595,0.180255487104019,0.111985631287098,1.43578986475437e-08,1,"flushany_g"
0.637496633275571,0.164967343211174,0.0350727178156376,0.0958132591043989,0.165044520864818,0.233622318506278,0.165199086070061,2.00079445249172e-08,1,"flushany_g"
0.662,0.22296816110611,0.0352605246007442,0.15352788742884,0.223016714775763,0.292065642084398,0.223113015294075,1.83304388258978e-08,1,"flushany_g"
0.687,0.288271576166153,0.0355686694383621,0.218420197158906,0.288254026278166,0.358143600848243,0.288217186927795,1.00166740797516e-08,1,"flushany_g"
0.712793937863097,0.364164978265762,0.0360689237713814,0.293733775294999,0.364013609602226,0.435358564235774,0.363709151744843,2.55512803998382e-10,1,"flushany_g"
0.737867705583871,0.439233928918839,0.0366713032126427,0.367864908787332,0.439002446583707,0.511822135993417,0.438537180423737,5.98879471143762e-09,1,"flushany_g"
0.763868091886833,0.51408588886261,0.0370018891990185,0.441931017212918,0.513901553799262,0.587189694939479,0.513533413410187,3.35764444662617e-08,1,"flushany_g"
0.788008291749509,0.582819402217865,0.0373897515237331,0.509515801203066,0.582767982765793,0.656338401600933,0.582669258117676,1.83502410295633e-07,1,"flushany_g"
0.812396662295864,0.659255862236023,0.0384981259703636,0.583413899257403,0.659331534031077,0.734611992251961,0.65948885679245,4.83919748269525e-07,1,"flushany_g"
