unique_id,model_filename,model_identifier,candidate,n_models_fitted,mae_oos,rmse_oos
811847,811847_spOOS_nb_model_4,28,urban,5,8.509925393,35.39434853
93383,93383_spOOS_nb_model_8,8,water,5,8.564966437,35.76580809
412110,412110_spOOS_nb_model_5,65,urbanexp10,5,8.786000671,36.34604889
205839,205839_spOOS_nb_model_7,115,flushany,5,8.871242405,36.75299062
412110,412110_spOOS_nb_model_7,67,flushany,5,8.921903695,36.97515479
827559,827559_spOOS_nb_model_2,14,tmean_coolest,5,8.625217515,35.79442781
811847,811847_spOOS_nb_model_9,33,tmean,5,8.516982209,35.53196845
827559,827559_spOOS_nb_model_3,15,gravity,5,8.559656313,35.66311423
93383,93383_spOOS_nb_model_6,6,traffic,5,8.54756539,36.02898314
811847,811847_spOOS_nb_model_10,34,spei1,5,8.516730683,35.39974829
811847,811847_spOOS_nb_model_9,33,tmean,5,8.516982209,35.53196845
93383,93383_spOOS_nb_model_6,6,traffic,5,8.54756539,36.02898314
822913,822913_spOOS_nb_model_5,101,urbanexp10,5,8.733654027,36.11873255
811847,811847_spOOS_nb_model_4,28,urban,5,8.509925393,35.39434853
614173,614173_spOOS_nb_model_3,87,gravity,5,8.598124125,36.01485288
822913,822913_spOOS_nb_model_2,98,tmean_coolest,5,8.636811095,35.83502018
279666,279666_spOOS_nb_model_10,82,spei1,5,8.490797955,35.34784205
827559,827559_spOOS_nb_model_7,19,flushany,5,9.016658614,37.31130729
827559,827559_spOOS_nb_model_11,23,spei6,5,8.546856202,35.46478879
827559,827559_spOOS_nb_model_3,15,gravity,5,8.559656313,35.66311423
205839,205839_spOOS_nb_model_baseline,120,baseline,5,9.168493123,40.69490137
41619,41619_spOOS_nb_model_4,52,urban,5,8.518675154,35.38034187
279666,279666_spOOS_nb_model_2,74,tmean_coolest,5,8.508233991,35.71098202
412110,412110_spOOS_nb_model_11,71,spei6,5,8.61415559,35.80280542
41619,41619_spOOS_nb_model_4,52,urban,5,8.518675154,35.38034187
822913,822913_spOOS_nb_model_5,101,urbanexp10,5,8.733654027,36.11873255
205839,205839_spOOS_nb_model_9,117,tmean,5,8.559901478,35.71036651
205839,205839_spOOS_nb_model_5,113,urbanexp10,5,8.680423843,36.00757563
93383,93383_spOOS_nb_model_4,4,urban,5,8.576588137,35.72397089
564117,564117_spOOS_nb_model_10,46,spei1,5,8.539004095,35.26141438
811847,811847_spOOS_nb_model_10,34,spei1,5,8.516730683,35.39974829
822913,822913_spOOS_nb_model_9,105,tmean,5,8.591873719,35.61296265
564117,564117_spOOS_nb_model_9,45,tmean,5,8.529712791,35.39376077
822913,822913_spOOS_nb_model_5,101,urbanexp10,5,8.733654027,36.11873255
205839,205839_spOOS_nb_model_5,113,urbanexp10,5,8.680423843,36.00757563
827559,827559_spOOS_nb_model_8,20,water,5,8.623444411,35.74039542
827559,827559_spOOS_nb_model_8,20,water,5,8.623444411,35.74039542
564117,564117_spOOS_nb_model_4,40,urban,5,8.500985399,35.20820068
279666,279666_spOOS_nb_model_1,73,full,5,8.427541349,35.28015638
564117,564117_spOOS_nb_model_7,43,flushany,5,8.782015707,36.15857594
93383,93383_spOOS_nb_model_9,9,tmean,5,8.612394681,35.9266044
614173,614173_spOOS_nb_model_baseline,96,baseline,5,9.179211631,40.44402259
205839,205839_spOOS_nb_model_10,118,spei1,5,8.578093571,35.7015207
811847,811847_spOOS_nb_model_baseline,36,baseline,5,9.25256319,40.9805539
811847,811847_spOOS_nb_model_baseline,36,baseline,5,9.25256319,40.9805539
564117,564117_spOOS_nb_model_1,37,full,5,8.473764905,35.10342714
564117,564117_spOOS_nb_model_1,37,full,5,8.473764905,35.10342714
564117,564117_spOOS_nb_model_1,37,full,5,8.473764905,35.10342714
93383,93383_spOOS_nb_model_7,7,flushany,5,8.884137985,36.90353014
614173,614173_spOOS_nb_model_11,95,spei6,5,8.582595105,35.69196287
412110,412110_spOOS_nb_model_6,66,traffic,5,8.611127919,36.08521822
205839,205839_spOOS_nb_model_10,118,spei1,5,8.578093571,35.7015207
93383,93383_spOOS_nb_model_7,7,flushany,5,8.884137985,36.90353014
614173,614173_spOOS_nb_model_8,92,water,5,8.687058081,36.22591766
93383,93383_spOOS_nb_model_5,5,urbanexp10,5,8.715395306,36.31278757
412110,412110_spOOS_nb_model_6,66,traffic,5,8.611127919,36.08521822
564117,564117_spOOS_nb_model_2,38,tmean_coolest,5,8.559964612,35.61632394
614173,614173_spOOS_nb_model_11,95,spei6,5,8.582595105,35.69196287
614173,614173_spOOS_nb_model_11,95,spei6,5,8.582595105,35.69196287
564117,564117_spOOS_nb_model_2,38,tmean_coolest,5,8.559964612,35.61632394
279666,279666_spOOS_nb_model_5,77,urbanexp10,5,8.575820795,35.52818241
564117,564117_spOOS_nb_model_5,41,urbanexp10,5,8.613792982,35.49026931
614173,614173_spOOS_nb_model_8,92,water,5,8.687058081,36.22591766
279666,279666_spOOS_nb_model_5,77,urbanexp10,5,8.575820795,35.52818241
827559,827559_spOOS_nb_model_4,16,urban,5,8.647534727,35.82173671
279666,279666_spOOS_nb_model_7,79,flushany,5,8.818399719,36.8452178
205839,205839_spOOS_nb_model_2,110,tmean_coolest,5,8.597958616,36.031923
279666,279666_spOOS_nb_model_3,75,gravity,5,8.416643555,35.40216681
811847,811847_spOOS_nb_model_3,27,gravity,5,8.436431016,35.48610016
205839,205839_spOOS_nb_model_6,114,traffic,5,8.536779641,36.07704657
205839,205839_spOOS_nb_model_11,119,spei6,5,8.579296764,35.90603611
614173,614173_spOOS_nb_model_10,94,spei1,5,8.640112293,35.72208439
811847,811847_spOOS_nb_model_1,25,full,5,8.497238857,35.4749605
279666,279666_spOOS_nb_model_8,80,water,5,8.520281583,35.64437492
41619,41619_spOOS_nb_model_1,49,full,5,8.475598099,35.29600344
811847,811847_spOOS_nb_model_5,29,urbanexp10,5,8.601331277,35.47074901
