"areaid","year","population_i","degree_grav1","degree_grav2","degree_rad","flux_grav1","flux_grav2","flux_rad"
"70000",1998,52767.2178076806,0,0,17,10.0498278320147,0.0638130771167516,98.0330972016574
"70000",1999,53820.3054318132,0,0,18,10.3176499003078,0.0651262012462782,99.9134678880261
"70000",2000,54873.3930559459,0,0,18,10.5881039025573,0.0664398213400472,101.794052817963
"70000",2001,55926.4806800785,0,0,18,10.8611898387631,0.0677537145582619,103.674931447747
"70000",2002,56979.5683042111,0,0,18,11.1369077089251,0.0690676233260533,105.556184217229
"70000",2003,58032.6559283438,0,0,18,11.4152575130435,0.0703812502332442,107.437893109688
"70000",2004,59085.7435524764,0,0,18,11.6962392511181,0.071694250863142,109.320142249778
"70000",2005,60138.831176609,0,0,18,11.9798529231491,0.0730062239343844,111.203018548636
"70000",2006,61293.3733824568,0,0,18,12.3115071935483,0.0745057245482995,113.265200980081
"70000",2007,62447.9155883045,0,0,18,12.6469914800303,0.0760071616152762,115.327842457935
"70000",2008,63602.4577941523,1,0,18,12.9863057825952,0.0775102760675421,117.39100796547
"70000",2009,64757,1,0,18,13.329450101243,0.0790147678319141,119.454762621471
"70000",2010,66469,1,0,18,13.8614478380815,0.081419216632767,122.448234001495
"70000",2011,68182,1,0,19,14.4029048033277,0.0838395566301995,125.442772446423
"70000",2012,69894,1,0,19,14.9534070817548,0.08627379243613,128.436195490401
"70000",2013,71606,2,0,19,15.5131597112451,0.0887228809082748,131.430035532446
"70000",2014,73319,2,0,19,16.0823842216167,0.0911875297208542,134.42478417684
"70000",2015,75031,2,1,19,16.6606462987429,0.0936659207668931,137.418974150182
"70000",2016,76743,2,1,19,17.248157220142,0.0961588050182003,140.413571728659
"70000",2017,78455,2,1,19,17.8449205570851,0.0986660016681939,143.408242791615
"70000",2018,80168,2,1,19,18.4511632706455,0.101188481045563,146.404496461884
"70000",2019,81880,3,1,19,19.0664356815359,0.103724161771106,149.400144829983
"70000",2020,83709,3,1,19,19.7377830356385,0.10645012398355,152.590872377012
"70001",1998,57188.6392800509,0,0,16,11.2293219318814,0.0682190255382337,119.014403672062
"70001",1999,58328.1053382499,0,0,16,11.5297059198214,0.0695793708176622,120.986878804437
"70001",2000,59467.5713964489,0,0,17,11.8330844272919,0.0709395873304727,122.953311097435
"70001",2001,60607.037454648,0,0,17,12.1394574542929,0.0722994750977414,124.913938821717
"70001",2002,61746.503512847,0,0,17,12.4488250008243,0.0736587993778542,126.868991151843
"70001",2003,62885.969571046,0,0,17,12.7611870668863,0.0750172858304696,128.818688750922
"70001",2004,64025.435629245,0,0,17,13.0765436524787,0.0763746136405105,130.763244328643
"70001",2005,65164.9016874441,0,0,18,13.3948947576016,0.0777304060113861,132.702863175943
"70001",2006,66414.1762655831,0,0,20,13.7659554507548,0.0792756113929354,134.815710468242
"70001",2007,67663.450843722,0,0,22,14.1413149705516,0.0808220601850191,136.922622054314
"70001",2008,68912.725421861,0,0,22,14.5209733169922,0.0823695170505896,139.023824667442
"70001",2009,70162,0,0,22,14.9049304900764,0.0839177058848283,141.119535815485
"70001",2010,71753,0,0,22,15.4422315853596,0.0861933031007168,144.085894293508
"70001",2011,73344,0,0,22,15.988369513728,0.0884815150291479,147.05086560237
"70001",2012,74935,0,0,22,16.5433468519082,0.0907821073446132,150.013532791194
"70001",2013,76526,1,0,22,17.107161207455,0.0930952085501714,152.975563756427
"70001",2014,78116,1,0,22,17.6795943153522,0.0954198955958676,155.935593862656
"70001",2015,79707,1,0,23,18.261086932369,0.0977577123503061,158.895243562154
"70001",2016,81298,1,0,23,18.8514155672545,0.100107809017349,161.854291378384
"70001",2017,82889,2,0,23,19.4505841998638,0.102470024331406,164.811952511093
"70001",2018,84480,3,0,24,20.0585910973625,0.104844462217288,167.769850108887
"70001",2019,86071,3,0,24,20.6754402396409,0.107230826614672,170.726983120135
"70001",2020,87757,3,0,24,21.345139871374,0.109784358204719,173.857284604193
"70002",1998,63236.2720649867,0,0,20,11.9316241558203,0.0646252505916949,44.4281803490183
"70002",1999,64500.0172016197,0,0,20,12.2477012518748,0.0658938767324548,45.342638163795
"70002",2000,65763.7623382527,0,0,19,12.5668203317435,0.0671609430845437,46.2592309366858
"70002",2001,67027.5074748857,0,0,19,12.8889813954263,0.0684261997512721,47.1779979488039
"70002",2002,68291.2526115186,0,0,19,13.2141844429234,0.0696893546186137,48.0989850531047
"70002",2003,69554.9977481516,0,0,21,13.5424294742347,0.0709500671762076,49.0222453834551
"70002",2004,70818.7428847846,0,0,21,13.8737164893602,0.0722079398519883,49.9478401638197
"70002",2005,72082.4880214176,0,0,21,14.2080454883,0.0734625061131016,50.8758396346402
"70002",2006,73468.1160160632,0,0,21,14.599774223636,0.074909658523678,51.8941103350961
"70002",2007,74853.7440107088,0,0,21,14.9959769970593,0.0763567235058144,52.9147498279771
"70002",2008,76239.3720053544,0,0,21,15.3966538085698,0.0778034094447283,53.9377840995152
"70002",2009,77625,0,0,21,15.8018046581674,0.0792493748672991,54.9632440196756
"70002",2010,79618,0,0,21,16.4193904956334,0.0815687603178953,56.3397839451295
"70002",2011,81611,0,0,21,17.0475813318404,0.0839012514839818,57.7168910097938
"70002",2012,83603,0,0,23,17.6861708731288,0.0862459124963196,59.0941958966072
"70002",2013,85596,0,0,23,18.335572724677,0.0886043097080789,60.4725997873561
"70002",2014,87589,0,0,23,18.9955868693762,0.0909756560598528,61.8516635381394
"70002",2015,89582,0,0,23,19.6662076198208,0.0933597824399763,63.2314322513609
"70002",2016,91575,1,0,23,20.3474321860579,0.0957566499925815,64.6118654805935
"70002",2017,93567,2,0,24,21.0390427602661,0.0981653773057204,65.9925479681454
"70002",2018,95560,2,0,24,21.7414797740004,0.100587531032328,67.3743739053478
"70002",2019,97553,4,0,25,22.4545282125249,0.10302210808407,68.7569479348864
"70002",2020,99678,5,0,25,23.2315773755596,0.10563647106799,70.2301166175115
"70003",1998,36260.9627031665,0,0,11,7.32633708548299,0.0484183211015465,20.2626021289348
"70003",1999,36985.1348104325,0,0,12,7.51881759450558,0.0493626824752505,20.7093687905065
"70003",2000,37709.3069176986,0,0,12,7.71310594606525,0.0503053914009025,21.1576029374693
"70003",2001,38433.4790249647,0,0,12,7.90920214016199,0.0512462333500177,21.6073125505694
"70003",2002,39157.6511322307,0,0,12,8.10710617679578,0.0521849587413044,22.0585071633666
"70003",2003,39881.8232394968,0,0,12,8.30681805596666,0.0531212776026597,22.5111978949376
"70003",2004,40605.9953467629,0,0,12,8.5083377776746,0.0540548521641231,22.9653974924388
"70003",2005,41330.167454029,0,0,13,8.71166534191961,0.0549852867406424,23.4211203841284
"70003",2006,42124.1255905217,0,0,13,8.95055917386345,0.0560654152262027,23.920169696217
"70003",2007,42918.0837270145,0,0,14,9.19214984519995,0.0571450690903751,24.420653057504
"70003",2008,43712.0418635072,0,0,14,9.43643735592905,0.0582239993848233,24.9225634489489
"70003",2009,44506,0,0,14,9.68342170605081,0.0593019155492982,25.4258948255735
"70003",2010,45403,0,0,14,10.009113295997,0.0608012778087508,26.0062230268568
"70003",2011,46300,0,0,14,10.3399611856477,0.0623086678522241,26.5869703470536
"70003",2012,47197,0,0,14,10.6759670437987,0.0638239539164227,27.1680925673314
"70003",2013,48094,0,0,14,11.0171287517683,0.0653472161731866,27.749645679175
"70003",2014,48991,0,0,14,11.3634514798039,0.0668784790122647,28.3316690199379
"70003",2015,49888,0,0,14,11.7149304283598,0.0684175893282102,28.9140469195102
"70003",2016,50785,0,0,14,12.0715646374361,0.0699645561009998,29.4967707105516
"70003",2017,51682,0,0,14,12.4333573935471,0.0715193209127881,30.0798476543975
"70003",2018,52579,0,0,14,12.8003069558316,0.0730819388388426,30.6633286776177
"70003",2019,53476,0,0,14,13.1724158185716,0.0746522269787652,31.2471702572334
"70003",2020,54421,0,0,14,13.5749155964532,0.0763262454781375,31.8656884458069
"70004",1998,32041.7503644396,0,0,11,6.89122244445337,0.0535344618901685,23.7452349421586
"70004",1999,32151.9069859252,0,0,11,6.95883187033286,0.0538624005540186,23.8300734937366
"70004",2000,32262.0636074108,0,0,11,7.02674223399773,0.0541879811668586,23.9152287965323
"70004",2001,32372.2202288964,0,0,11,7.09495353544798,0.0545111435962616,24.0006946651466
"70004",2002,32482.376850382,0,0,11,7.16346577468361,0.0548318061762735,24.0864654738825
"70004",2003,32592.5334718676,0,0,11,7.23227895170462,0.0551498633017452,24.1725361353324
"70004",2004,32702.6900933532,0,0,11,7.30139306651102,0.0554651818005795,24.2589020827684
"70004",2005,32812.8467148388,0,0,11,7.37080811910279,0.0557775957587395,24.3455592562522
"70004",2006,32924.8850361291,0,0,11,7.45496179292868,0.0561440467817688,24.4342308541671
"70004",2007,33036.9233574194,0,0,11,7.53951690941689,0.0565083217346441,24.5231410228854
"70004",2008,33148.9616787097,0,0,11,7.62447346856742,0.0568703519023551,24.6122823508933
"70004",2009,33261,0,0,11,7.70983147038028,0.0572300448479233,24.7016479663506
"70004",2010,33351,0,0,11,7.82946361418137,0.0577843878990889,24.5088598952765
"70004",2011,33440,0,0,11,7.9493882357753,0.0583341737671367,24.3428312119438
"70004",2012,33530,0,0,11,8.07008338427151,0.0588822445025147,24.2044542661636
"70004",2013,33619,0,0,11,8.19106686269895,0.0594261883316489,24.0918571003531
"70004",2014,33709,0,0,11,8.31282404180927,0.059968722949027,24.0057510921323
"70004",2015,33799,0,0,11,8.43511662224895,0.0605087975484536,23.9453021705137
"70004",2016,33888,0,0,11,8.55768778625813,0.0610450597742355,23.9091348402701
"70004",2017,33978,0,0,11,8.6810420725766,0.0615802984937073,23.8981615255791
"70004",2018,34067,0,0,11,8.80466823289054,0.062111947939094,23.9108231497976
"70004",2019,34157,0,0,11,8.92908651772045,0.062642875648096,23.9479441709866
"70004",2020,34247,0,0,11,9.0629243728363,0.0632084414459559,24.0071665951845
"70005",1998,53748.6742468836,0,0,16,10.6589730948443,0.061477376735966,108.960268292349
"70005",1999,53945.8611671714,0,0,16,10.7686371038959,0.0619283764005585,109.828541361592
"70005",2000,54143.0480874592,0,0,16,10.8788169423425,0.0623758689898747,110.69071128147
"70005",2001,54340.235007747,0,0,16,10.989512610184,0.0628197774310473,111.547100194547
"70005",2002,54537.4219280349,0,0,16,11.1007241074205,0.0632599922854279,112.398022697314
"70005",2003,54734.6088483227,0,0,16,11.2124514340518,0.0636963685541701,113.243787343571
"70005",2004,54931.7957686105,0,0,16,11.324694590078,0.0641287206574671,114.08469816938
"70005",2005,55128.9826888984,0,0,16,11.4374535754992,0.0645568151388816,114.921056259663
"70005",2006,55330.7370166738,0,0,15,11.5748121955014,0.0650670826410204,115.803161476613
"70005",2007,55532.4913444492,0,0,15,11.7128672741424,0.0655741244057162,116.679190935528
"70005",2008,55734.2456722246,0,0,15,11.8516188114222,0.0660778498972201,117.549429541206
"70005",2009,55936,0,0,15,11.9910668073406,0.0665781332832625,118.414152587675
"70005",2010,56845,0,0,15,12.3444749620562,0.0680211748334337,120.224090574972
"70005",2011,57754,0,0,15,12.7029512153918,0.0694702197078787,122.035008917179
"70005",2012,58663,0,0,15,13.0664996018519,0.0709252346632298,123.845909151571
"70005",2013,59572,0,0,15,13.4351165079016,0.0723863348080633,125.65807978356
"70005",2014,60481,0,0,15,13.8088068344806,0.0738535410135611,127.471229771238
"70005",2015,61389,0,0,15,14.1873376631096,0.0753259162474215,129.283933832501
"70005",2016,62298,0,0,15,14.5711635574282,0.0768052714845311,131.098833834116
"70005",2017,63207,0,0,15,14.9600613379316,0.0782906725388821,132.914277062263
"70005",2018,64116,0,0,15,15.3540277807728,0.0797821913668886,134.731558603389
"70005",2019,65025,0,0,15,15.7530681046176,0.08127972447957,136.549600824725
"70005",2020,65974,0,0,15,16.182801104035,0.0828689218610043,138.448968672122
"70006",1998,47546.2069328467,0,0,15,10.1159928165641,0.0668640861099102,25.3617482863112
"70006",1999,47710.2518648148,0,0,15,10.2179400545245,0.0673307110279348,25.4170928542425
"70006",2000,47874.2967967829,0,0,15,10.3203483407214,0.0677940451148291,25.4744855549526
"70006",2001,48038.3417287511,0,0,15,10.4232176751547,0.0682540210108352,25.5338371717247
"70006",2002,48202.3866607192,0,0,15,10.5265480578245,0.068710541731798,25.5950648068197
"70006",2003,48366.4315926873,0,0,14,10.6303394887307,0.0691634776955788,25.6580914405575
"70006",2004,48530.4765246555,0,0,14,10.7345919678733,0.0696126620891728,25.7228455340812
"70006",2005,48694.5214566236,0,0,14,10.8393054952524,0.070057884160488,25.7892606718983
"70006",2006,48861.3910924677,0,0,14,10.9660948325312,0.0705803364169624,25.8557010655581
"70006",2007,49028.2607283118,0,0,14,11.0934964709216,0.0710997440415164,25.9238373402112
"70006",2008,49195.1303641559,0,0,14,11.2215104104236,0.0716160276785906,25.993589418671
"70006",2009,49362,0,0,14,11.350136651037,0.0721290756435654,26.0648826719476
"70006",2010,49868,0,0,14,11.6160637048441,0.0733508079532479,26.350985763368
"70006",2011,50374,0,0,14,11.8850232727956,0.0745748771180511,26.6386416585557
"70006",2012,50879,0,0,14,12.1567826805456,0.0758002905912362,26.9274539833789
"70006",2013,51385,0,0,14,12.4318106746627,0.0770294120890149,27.218332008715
"70006",2014,51891,0,0,14,12.7098760232018,0.0782612279115582,27.5108328414618
"70006",2015,52397,0,0,14,12.9909774987492,0.0794958129079099,27.8049765178182
"70006",2016,52903,0,0,14,13.2751121355503,0.0807332456014186,28.1008577784226
"70006",2017,53408,0,0,14,13.5620307154239,0.081972415080445,28.3980100503384
"70006",2018,53914,0,0,14,13.8522321840066,0.0832156810998449,28.6973402918797
