"water_piped_well","sanitation_flushtoilet_indoor","sanitation_flushtoilet_outdoor","sanitation_flushtoilet_any","year","areaid","sanitation_flushtoilet_none","infrat_pca_1","infrat_pca_2","netmigrationrate_2019"
0.047293436411557,0.0135281363023848,0.0506373486526959,0.0641654849550807,2002,"70302",0.935834515044919,-2.24104691272516,-0.568827349298496,"-28.3"
0.0509828756629278,0.0163058163499781,0.0580478021354161,0.0743536184853942,2003,"70302",0.925646381514606,-2.19730105287541,-0.518801242435047,"-28.3"
0.0549601341768089,0.0196538267279539,0.0665055872582689,0.0861594139862228,2004,"70302",0.913840586013777,-2.14703471809743,-0.461715553960493,"-28.3"
0.0592476652102479,0.0236892711632284,0.0761504510946409,0.0998397222578692,2005,"70302",0.900160277742131,-2.08924440571039,-0.396652643951592,"-28.3"
0.0638696736360376,0.0285532978392848,0.0871388787825569,0.115692176621842,2006,"70302",0.884307823378158,-2.02276947660336,-0.322592613605086,"-28.3"
0.0688522525891596,0.0344160363516983,0.0996456319783581,0.134061668330056,2007,"70302",0.865938331669944,-1.94626731869569,-0.238406121740999,"-28.3"
0.0742235307732433,0.0414825483496966,0.113865301783542,0.155347850133239,2008,"70302",0.844652149866761,-1.85818456379549,-0.14284792992973,"-28.3"
0.0800138312586445,0.05,0.130013831258645,0.180013831258645,2009,"70302",0.819986168741355,-1.75672372852907,-0.034551676541103,"-28.3"
0.0873124481327801,0.0656,0.15381244813278,0.21941244813278,2010,"70302",0.78058755186722,-1.5973499237375,0.123268049203001,"-28.3"
0.0946110650069156,0.0812,0.177611065006916,0.258811065006916,2011,"70302",0.741188934993084,-1.43797611894593,0.281087774947105,"-28.3"
0.101909681881051,0.0968,0.201409681881051,0.298209681881051,2012,"70302",0.701790318118949,-1.27860231415435,0.43890750069121,"-28.3"
0.109208298755187,0.1124,0.225208298755187,0.337608298755187,2013,"70302",0.662391701244813,-1.11922850936278,0.596727226435314,"-28.3"
0.116506915629322,0.128,0.249006915629322,0.377006915629322,2014,"70302",0.622993084370678,-0.959854704571207,0.754546952179418,"-28.3"
0.123805532503458,0.1436,0.272805532503458,0.416405532503458,2015,"70302",0.583594467496542,-0.800480899779635,0.912366677923522,"-28.3"
0.131104149377593,0.1592,0.296604149377593,0.455804149377593,2016,"70302",0.544195850622407,-0.641107094988062,1.07018640366763,"-28.3"
0.138402766251729,0.1748,0.320402766251729,0.495202766251729,2017,"70302",0.504797233748271,-0.481733290196489,1.22800612941173,"-28.3"
0.145701383125864,0.1904,0.344201383125864,0.534601383125864,2018,"70302",0.465398616874136,-0.322359485404917,1.38582585515583,"-28.3"
0.153,0.206,0.368,0.574,2019,"70302",0.426,-0.162985680613343,1.54364558089994,"-28.3"
0.153,0.206,0.368,0.574,2020,"70302",0.426,-0.162985680613343,1.54364558089994,"-28.3"
0.0363560589868907,0.00704454083037391,0.0814340650495197,0.0884786058798936,1998,"70307",0.911521394120106,-2.16665249651151,-0.331047418392529,"-39.7"
0.0390581714807308,0.00841842162006794,0.088821879015967,0.0972403006360349,1999,"70307",0.902759699363965,-2.12980569336043,-0.279470828812064,"-39.7"
0.0419611146512952,0.0100602472580836,0.0968093849400342,0.106869632198118,2000,"70307",0.893130367801882,-2.08939677727847,-0.223824827913817,"-39.7"
0.0450798149536467,0.0120222744192946,0.105430244870106,0.1174525192894,2001,"70307",0.8825474807106,-2.04507811580735,-0.163913523576217,"-39.7"
0.0484303082304392,0.0143669512791236,0.11471643755348,0.129083388832603,2002,"70307",0.870916611167397,-1.99646777163429,-0.0995623578604593,"-39.7"
0.0520298221655767,0.0171689051387353,0.124697113345321,0.141866018484057,2003,"70307",0.858133981515943,-1.94314606372749,-0.0306281892935537,"-39.7"
0.055896864866123,0.0205173176922523,0.135397144908495,0.155914462600747,2004,"70307",0.844085537399253,-1.8846517749415,0.0429880702316053,"-39.7"
0.0600513200279353,0.0245187635369403,0.146835306365373,0.171354069902313,2005,"70307",0.828645930097687,-1.82047796818982,0.121325707319993,"-39.7"
0.0645145491743504,0.0293006022715828,0.159021999636587,0.18832260190817,2006,"70307",0.81167739809183,-1.75006736893788,0.204344676733244,"-39.7"
0.069309501493614,0.0350150321480942,0.17195642998106,0.206971462129154,2007,"70307",0.793028537870846,-1.67280726687701,0.291901480649222,"-39.7"
0.0744608318398227,0.0418439342975948,0.185623112683671,0.227467046981266,2008,"70307",0.772532953018734,-1.58802388412397,0.383719484708463,"-39.7"
0.0799950275041179,0.0500046617148895,0.199987568760295,0.249992230475184,2009,"70307",0.750007769524816,-1.49497615105924,0.479352500614463,"-39.7"
0.0868955247537061,0.0645041955434005,0.215688811884266,0.280193007427666,2010,"70307",0.719806992572334,-1.37068456906121,0.578833125557259,"-39.7"
0.0937960220032943,0.0790037293719116,0.231390055008236,0.310393784380148,2011,"70307",0.689606215619852,-1.24639298706317,0.678313750500054,"-39.7"
0.100696519252883,0.0935032632004226,0.247091298132207,0.340594561332629,2012,"70307",0.659405438667371,-1.12210140506514,0.77779437544285,"-39.7"
0.107597016502471,0.108002797028934,0.262792541256177,0.370795338285111,2013,"70307",0.629204661714889,-0.997809823067101,0.877275000385646,"-39.7"
0.114497513752059,0.122502330857445,0.278493784380148,0.400996115237592,2014,"70307",0.599003884762408,-0.873518241069065,0.976755625328441,"-39.7"
0.121398011001647,0.137001864685956,0.294195027504118,0.431196892190074,2015,"70307",0.568803107809926,-0.749226659071029,1.07623625027124,"-39.7"
0.128298508251235,0.151501398514467,0.309896270628089,0.461397669142556,2016,"70307",0.538602330857444,-0.624935077072994,1.17571687521403,"-39.7"
0.135199005500824,0.166000932342978,0.325597513752059,0.491598446095037,2017,"70307",0.508401553904963,-0.500643495074958,1.27519750015683,"-39.7"
0.142099502750412,0.180500466171489,0.34129875687603,0.521799223047519,2018,"70307",0.478200776952481,-0.376351913076923,1.37467812509962,"-39.7"
0.149,0.195,0.357,0.552,2019,"70307",0.448,-0.252060331078888,1.47415875004242,"-39.7"
0.149,0.195,0.357,0.552,2020,"70307",0.448,-0.252060331078888,1.47415875004242,"-39.7"
0.0504602022215887,0.00491611560080709,0.00832298358044225,0.0132390991812493,1998,"70315",0.986760900818751,-2.42763658616921,-0.874374166958216,"-40.3"
0.0560413025631825,0.00607019580675249,0.0103346952088326,0.0164048910155851,1999,"70315",0.983595108984415,-2.40752624418199,-0.863759988506505,"-40.3"
0.0622396949418979,0.00749520152175961,0.0128324994455677,0.0203277009673273,2000,"70315",0.979672299032673,-2.38365761049711,-0.850153145290142,"-40.3"
0.0691236543278613,0.00925473372527706,0.015933816824953,0.02518855055023,2001,"70315",0.97481144944977,-2.3552482368117,-0.83278263220613,"-40.3"
0.0767690071761775,0.0114273240121865,0.0197844239292686,0.0312117479414551,2002,"70315",0.968788252058545,-2.32134144246178,-0.810685752456881,"-40.3"
0.0852599666513947,0.0141099396217999,0.0245652992577962,0.0386752388795961,2003,"70315",0.961324761120404,-2.28076607758776,-0.782661187527693,"-40.3"
0.0946900602311383,0.0174223112881477,0.0305011214269791,0.0479234327151268,2004,"70315",0.952076567284873,-2.23208682313154,-0.747210658173905,"-40.3"
0.105163159906419,0.0215122770725507,0.0378708184100977,0.0593830954826483,2005,"70315",0.940616904517352,-2.17354278247403,-0.702466412060183,"-40.3"
0.116794626326221,0.0265623806848758,0.0470206627098485,0.0735830433947243,2006,"70315",0.926416956605276,-2.1029715846352,-0.646101105022903,"-40.3"
0.129712579489054,0.0327980187903281,0.0583805267405625,0.0911785455308907,2007,"70315",0.908821454469109,-2.01771555639659,-0.57521581265842,"-40.3"
0.144059309978089,0.0404975009330851,0.0724840608722909,0.112981561805376,2008,"70315",0.887018438194624,-1.91450569996607,-0.486200878044514,"-40.3"
0.159992846284539,0.0500044710721631,0.0899937404989717,0.139998211571135,2009,"70315",0.860001788428865,-1.78931819609309,-0.374563021425514,"-40.3"
0.182093561656085,0.0690040239649468,0.125694366449075,0.194698390414021,2010,"70315",0.805301609585979,-1.55074841940915,-0.14064356764561,"-40.3"
0.204194277027631,0.0880035768577305,0.161394992399177,0.249398569256908,2011,"70315",0.750601430743092,-1.3121786427252,0.0932758861342942,"-40.3"
0.226294992399177,0.107003129750514,0.19709561834928,0.304098748099794,2012,"70315",0.695901251900206,-1.07360886604125,0.327195339914198,"-40.3"
0.248395707770723,0.126002682643298,0.232796244299383,0.358798926942681,2013,"70315",0.641201073057319,-0.835039089357306,0.561114793694102,"-40.3"
0.270496423142269,0.145002235536082,0.268496870249486,0.413499105785567,2014,"70315",0.586500894214433,-0.596469312673359,0.795034247474006,"-40.3"
0.292597138513816,0.164001788428865,0.304197496199589,0.468199284628454,2015,"70315",0.531800715371546,-0.357899535989412,1.02895370125391,"-40.3"
0.314697853885362,0.183001341321649,0.339898122149692,0.52289946347134,2016,"70315",0.47710053652866,-0.119329759305465,1.26287315503381,"-40.3"
0.336798569256908,0.202000894214433,0.375598748099794,0.577599642314227,2017,"70315",0.422400357685773,0.119240017378481,1.49679260881372,"-40.3"
0.358899284628454,0.221000447107216,0.411299374049897,0.632299821157113,2018,"70315",0.367700178842887,0.357809794062428,1.73071206259362,"-40.3"
0.381,0.24,0.447,0.687,2019,"70315",0.313,0.596379570746376,1.96463151637353,"-40.3"
0.381,0.24,0.447,0.687,2020,"70315",0.313,0.596379570746376,1.96463151637353,"-40.3"
0.0469129718606797,0.00247288448625429,0.0160182828238202,0.0184911673100745,1998,"70303",0.981508832689926,-2.4133876412492,-0.813816861438722,"-33.5"
0.0486529017474903,0.00310251283498157,0.0184553755748566,0.0215578884098381,1999,"70303",0.978442111590162,-2.39931557196507,-0.797436053061565,"-33.5"
0.0504573629545508,0.00389245269834877,0.0212407660378113,0.02513321873616,2000,"70303",0.97486678126384,-2.38323300106666,-0.778665555882518,"-33.5"
0.0523287488491599,0.00488352145978235,0.0244179885968053,0.0293015100565876,2001,"70303",0.970698489943412,-2.36481746481497,-0.75722039814433,"-33.5"
0.054269541564924,0.00612692913603592,0.0280341745653789,0.0341611037014148,2002,"70303",0.965838896298585,-2.34369316739835,-0.732797739730203,"-33.5"
0.056282315293963,0.00768692447594546,0.0321397262272136,0.0398266507031591,2003,"70303",0.960173349296841,-2.31942207542426,-0.705081431359754,"-33.5"
0.0583697397012182,0.00964411479012461,0.0367877019361526,0.0464318167262772,2004,"70303",0.953568183273723,-2.29149351640807,-0.673749246708619,"-33.5"
0.060534583465393,0.0120996310522045,0.0420328045515653,0.0541324356037698,2005,"70303",0.94586756439623,-2.25931202816635,-0.638483718843233,"-33.5"
0.0627797179512205,0.0151803534886771,0.047929832392504,0.0631101858811811,2006,"70303",0.936889814118819,-2.22218316277339,-0.598987791108378,"-33.5"
0.06510812101793,0.0190454676714466,0.0545314094362196,0.0735768771076662,2007,"70303",0.926423122892334,-2.1792968979934,-0.555006849223067,"-33.5"
0.0675228809689645,0.0238946898762716,0.0618847571231215,0.0857794469993931,2008,"70303",0.914220553000607,-2.12970824953192,-0.506359156801815,"-33.5"
