unique_id,model_filename,model_identifier,candidate,n_models_fitted,mae_oos,rmse_oos
dummy,dummy,dummy,dummy,dummy,dummy,dummy
890863,890863_stempOOS_nb_model_8,140,water,5,8.567382302,35.59660718
890863,890863_stempOOS_nb_model_1,133,full,5,8.48658157,35.26008988
617393,617393_stempOOS_nb_model_5,65,urbanexp10,5,8.565195885,35.3036848
19000,19000_stempOOS_nb_model_baseline,132,baseline,5,9.206024721,40.84758218
890863,890863_stempOOS_nb_model_baseline,144,baseline,5,9.188630542,40.72893953
617393,617393_stempOOS_nb_model_6,66,traffic,5,8.412366992,35.39377991
557329,557329_stempOOS_nb_model_6,102,traffic,5,8.41577377,35.51621448
18590,18590_stempOOS_nb_model_9,21,tmean,5,8.580133592,35.94127312
896829,896829_stempOOS_nb_model_1,109,full,5,8.437915852,35.19857879
896829,896829_stempOOS_nb_model_6,114,traffic,5,8.450869901,35.65105553
890863,890863_stempOOS_nb_model_2,134,tmean_coolest,5,8.537342774,35.60548977
19000,19000_stempOOS_nb_model_8,128,water,5,8.569101908,36.0744654
733759,733759_stempOOS_nb_model_10,46,spei1,5,8.530982412,35.33175247
848943,848943_stempOOS_nb_model_10,82,spei1,5,8.491195107,35.15376889
896829,896829_stempOOS_nb_model_8,116,water,5,8.534843786,35.62294608
617526,617526_stempOOS_nb_model_2,50,tmean_coolest,5,8.53695212,35.97711133
848943,848943_stempOOS_nb_model_8,80,water,5,8.516570197,35.5104203
848943,848943_stempOOS_nb_model_7,79,flushany,5,8.810519799,36.29692762
709928,709928_stempOOS_nb_model_4,28,urban,5,8.522307334,35.37366115
709928,709928_stempOOS_nb_model_6,30,traffic,5,8.45522518,35.6206214
896829,896829_stempOOS_nb_model_2,110,tmean_coolest,5,8.516248337,35.58808093
557329,557329_stempOOS_nb_model_1,97,full,5,8.434343967,35.13082164
18590,18590_stempOOS_nb_model_4,16,urban,5,8.592763844,35.93540169
842257,842257_stempOOS_nb_model_3,87,gravity,5,8.432257447,35.54816115
557329,557329_stempOOS_nb_model_11,107,spei6,5,8.426721481,35.12142779
733759,733759_stempOOS_nb_model_1,37,full,5,8.484099432,35.33854972
18590,18590_stempOOS_nb_model_2,14,tmean_coolest,5,8.596805813,36.19942419
842257,842257_stempOOS_nb_model_1,85,full,5,8.459224044,35.47774049
19000,19000_stempOOS_nb_model_4,124,urban,5,8.539332054,35.81219617
848943,848943_stempOOS_nb_model_6,78,traffic,5,8.461470622,35.54192502
617393,617393_stempOOS_nb_model_9,69,tmean,5,8.474884303,35.289729
617393,617393_stempOOS_nb_model_10,70,spei1,5,8.481968816,35.12065029
709928,709928_stempOOS_nb_model_8,32,water,5,8.549257806,35.63277215
270445,270445_stempOOS_nb_model_1,1,full,5,8.471920734,35.38312911
18590,18590_stempOOS_nb_model_10,22,spei1,5,8.567929243,35.77707024
709928,709928_stempOOS_nb_model_1,25,full,5,8.482957065,35.28966023
557329,557329_stempOOS_nb_model_10,106,spei1,5,8.473896763,35.21099722
896829,896829_stempOOS_nb_model_7,115,flushany,5,8.8441975,36.67583169
890863,890863_stempOOS_nb_model_10,142,spei1,5,8.51029212,35.26185069
842257,842257_stempOOS_nb_model_7,91,flushany,5,8.835971867,36.72787528
709928,709928_stempOOS_nb_model_baseline,36,baseline,5,9.163378636,40.44946062
733759,733759_stempOOS_nb_model_9,45,tmean,5,8.526289591,35.51739774
842257,842257_stempOOS_nb_model_9,93,tmean,5,8.515770264,35.70608749
890863,890863_stempOOS_nb_model_6,138,traffic,5,8.465530655,35.52310496
617393,617393_stempOOS_nb_model_4,64,urban,5,8.473278085,35.17525932
18590,18590_stempOOS_nb_model_11,23,spei6,5,8.508162007,35.75064265
617393,617393_stempOOS_nb_model_11,71,spei6,5,8.420041145,35.02616087
733759,733759_stempOOS_nb_model_5,41,urbanexp10,5,8.644647279,35.70183581
617526,617526_stempOOS_nb_model_5,53,urbanexp10,5,8.636919062,36.04519461
270445,270445_stempOOS_nb_model_6,6,traffic,5,8.463807752,35.6526519
617526,617526_stempOOS_nb_model_11,59,spei6,5,8.454203188,35.48441267
270445,270445_stempOOS_nb_model_4,4,urban,5,8.508564675,35.44899229
270445,270445_stempOOS_nb_model_2,2,tmean_coolest,5,8.559596531,35.79446078
890863,890863_stempOOS_nb_model_4,136,urban,5,8.526993185,35.34352935
557329,557329_stempOOS_nb_model_2,98,tmean_coolest,5,8.494963619,35.5490604
18590,"18590_stempOOS_nb_model_baseline",24,"baseline",5,9.19601178193431,40.8016299789435
896829,"896829_stempOOS_nb_model_baseline",120,"baseline",5,9.16398244146622,40.705382137667
617526,"617526_stempOOS_nb_model_7",55,"flushany",4,8.93100359684962,38.2766979967073
733759,"733759_stempOOS_nb_model_7",43,"flushany",4,8.77507481221007,37.304255146895
842257,"842257_stempOOS_nb_model_6",90,"traffic",4,8.6024789094611,36.5411390738852
709928,"709928_stempOOS_nb_model_5",29,"urbanexp10",4,8.60667853438226,32.7252617780625
617393,"617393_stempOOS_nb_model_1",61,"full",5,8.41950824872004,35.0234884347611
19000,"19000_stempOOS_nb_model_2",122,"tmean_coolest",5,8.56811763319527,36.1211037380001
842257,"842257_stempOOS_nb_model_5",89,"urbanexp10",4,8.65199498357553,36.8477807396486
270445,"270445_stempOOS_nb_model_7",7,"flushany",4,8.79591397956494,33.3971125138456
