"mean","sd","lower","median","upper","mode","kld","param","region"
0.335028409957886,0.0701859667897224,0.19683541486987,0.335116621370543,0.472582205132201,0.335293680429459,1.7268768891994e-06,"Intercept","Southern"
0.416872441768646,0.0394567511975765,0.339434174920808,0.416861028688082,0.494301550659897,0.416841596364975,1.20941735936333e-07,"tmean_coolestmonth_s","Southern"
0.149586901068687,0.0322359316051006,0.0863241474350321,0.149575719293204,0.212853322755478,0.149556502699852,2.42786755113561e-08,"gravityf_log","Southern"
-0.146047070622444,0.0321585722267628,-0.209250795338159,-0.146027123549564,-0.0830143127832946,-0.145985037088394,4.4162417410273e-07,"urban_s","Southern"
-0.145538955926895,0.0204820409417152,-0.185763830629503,-0.145536191597571,-0.105366202283461,-0.145528987050056,9.73207178427516e-08,"urbanexp10_log","Southern"
0.0827024877071381,0.0204573590308428,0.042558716052964,0.0826942167283341,0.12285535319306,0.0826794654130936,1.09254691789138e-08,"traffic_kmperinhab_log","Southern"
-4.00060033798218,0.121051229536533,-4.23826807954415,-4.0006018105491,-3.76314995978656,-4.00059413909912,3.94647204180978e-07,"Intercept","Northern"
0.618994653224945,0.0482397973537445,0.524290406730557,0.61899068912344,0.713636008930826,0.618986785411835,1.00109567288868e-07,"tmean_coolestmonth_s","Northern"
0.795637786388397,0.0627879574894905,0.672392120109523,0.795626074295934,0.918836857846008,0.79560774564743,4.05593352976877e-08,"gravityf_log","Northern"
-0.137394636869431,0.0428527966141701,-0.221540205795551,-0.137392093364701,-0.0533398458188337,-0.137383326888084,1.25092451272674e-08,"urban_s","Northern"
-0.351248949766159,0.0359313637018204,-0.421803406595445,-0.351246913867368,-0.280770137634548,-0.351239740848541,1.4283827071387e-08,"urbanexp10_log","Northern"
1.01549255847931,0.0501396805047989,0.917072365598929,1.0154836100728,1.11387419780316,1.015469789505,1.62377857344731e-07,"traffic_kmperinhab_log","Northern"
