"value","mean","sd","lower","median","upper","mode","kld","group","effect","region"
0.0146559062970732,0.295434038324213,1.12281841058072,0.233347890458245,0.296271923796684,0.368120647500802,0.297910392515745,1.59000701408201e-06,1,"flushany_g","Southern"
0.0378838245287082,0.33086206583655,1.09659993848138,0.274927011865713,0.331326245736819,0.395048767129568,0.332264108738916,1.2730744827059e-06,1,"flushany_g","Southern"
0.0634119422307432,0.374730205111874,1.07484109066832,0.324754992689114,0.374911830786865,0.431187909601982,0.375282481189853,7.90047180484967e-07,1,"flushany_g","Southern"
0.0882049043294852,0.420778836620569,1.06118218970152,0.374177424470028,0.420887457192774,0.472455938170682,0.421106011816709,6.10376165874582e-07,1,"flushany_g","Southern"
0.112323199707696,0.469367361129122,1.05322293339267,0.423655017176277,0.469462984706075,0.519368626032616,0.469651296288799,5.66052585113233e-07,1,"flushany_g","Southern"
0.137182693885438,0.523596281347912,1.04873499144885,0.476855885242033,0.523593349135434,0.574884412761881,0.523593285314529,4.80456019801058e-07,1,"flushany_g","Southern"
0.163182256139683,0.584401093505967,1.0468364863594,0.534854555292913,0.584125753631821,0.640294397010352,0.583609492424244,3.48350406510425e-07,1,"flushany_g","Southern"
0.188690922700647,0.643756484596827,1.04652804051889,0.590268086102746,0.643151840658627,0.705959010718234,0.641969677389819,7.70148465728028e-07,1,"flushany_g","Southern"
0.212149061662198,0.694109136690114,1.0462732849691,0.637129758949255,0.693279860239634,0.76134668855123,0.691611702333688,1.40227549300456e-06,1,"flushany_g","Southern"
0.238665702798463,0.742200418818453,1.04485288604925,0.682985608738954,0.741361832908323,0.811764367682819,0.73967571293771,1.47094016747225e-06,1,"flushany_g","Southern"
0.261478290612874,0.774895786335729,1.04281344232737,0.715320334143893,0.774240936234568,0.843587724561151,0.77295615372972,1.02397984533243e-06,1,"flushany_g","Southern"
0.287747637886898,0.804298658188409,1.04061102115683,0.74481588159222,0.803912284686759,0.87098653926269,0.803175108366206,7.41732456952578e-07,1,"flushany_g","Southern"
0.313379089471568,0.826843237178451,1.03913774811586,0.767043830176399,0.826720164745883,0.891970861208735,0.826482472993072,8.35088516472392e-07,1,"flushany_g","Southern"
0.339885440219551,0.848213679615038,1.03822041851767,0.787744273981105,0.848260542910412,0.912949711539829,0.848339893101474,7.04122465313307e-07,1,"flushany_g","Southern"
0.364,0.866234958147776,1.0376498886624,0.80507913168167,0.866379955836152,0.931066159652386,0.866643964254357,4.65346749621004e-07,1,"flushany_g","Southern"
0.388139374898837,0.883326914285839,1.03730844309687,0.821309405745554,0.883541611202471,0.948636560565298,0.883937389194753,2.61271817425816e-07,1,"flushany_g","Southern"
0.41144822984216,0.900273975917729,1.03717740607763,0.837209200237438,0.900514419066745,0.966541943069276,0.900958407464144,1.14365546263539e-07,1,"flushany_g","Southern"
0.436740492516488,0.920918864063101,1.03703722577043,0.856836950272001,0.921090515196661,0.988664272065547,0.921407764211539,5.36930469668555e-08,1,"flushany_g","Southern"
0.461275689708692,0.942602925434771,1.03693751970153,0.87750844674525,0.942659461364372,1.01209966599151,0.942766029747088,2.07021422926048e-07,1,"flushany_g","Southern"
0.487097193701756,0.967317457419776,1.03695828682377,0.900918606793715,0.967218567051976,1.03913490272132,0.967040720043617,6.06569635048252e-07,1,"flushany_g","Southern"
0.511396717375616,0.990107669763152,1.03703743052348,0.922184528102357,0.989941863431212,1.06396710607745,0.989640690824383,8.83294615711057e-07,1,"flushany_g","Southern"
0.538304192872118,1.01496352566294,1.03702349968173,0.945236687443864,1.01483660440501,1.09052400557917,1.01460499953858,8.74563614561481e-07,1,"flushany_g","Southern"
0.561646630087627,1.0363484413497,1.03696509340039,0.964812930540639,1.03637705027249,1.11291761136064,1.0364267701668,5.5822754563685e-07,1,"flushany_g","Southern"
0.58897694593358,1.06488565306414,1.03696667336695,0.990804393072591,1.06512019470055,1.14297005599437,1.06554392756228,2.45978080048602e-07,1,"flushany_g","Southern"
0.611932341298912,1.09750278562621,1.0368917299756,1.0213577054783,1.09772487292958,1.17786232253293,1.09812551245543,2.34332143361519e-07,1,"flushany_g","Southern"
0.637541127194803,1.1418088875363,1.03686672301038,1.06298714505198,1.14191818379784,1.22569822912808,1.1421115265761,3.15931372407528e-07,1,"flushany_g","Southern"
0.661391216668653,1.1907603975963,1.03705378771851,1.1086823745905,1.190691923119,1.27922262692505,1.19055934282033,5.16310882627455e-07,1,"flushany_g","Southern"
0.686810764582176,1.2495946007315,1.03749767071938,1.16300231165747,1.24933871563202,1.34409929564217,1.24886226983606,7.88900676430593e-07,1,"flushany_g","Southern"
0.71308672644633,1.32010762715154,1.03815318507681,1.2278113515287,1.31958883339363,1.4225965294515,1.31862415602279,1.34684211109296e-06,1,"flushany_g","Southern"
0.738348587650557,1.39200637835919,1.03860279673457,1.29366008979621,1.3914357847617,1.50141686600319,1.39037141887861,1.51017744500745e-06,1,"flushany_g","Southern"
0.763998979721974,1.46825221057536,1.03880683425466,1.36329461027674,1.46790839944956,1.58329491187636,1.46726808822145,1.08117356683189e-06,1,"flushany_g","Southern"
0.78660195767689,1.54275731393264,1.03935391676569,1.43022390047955,1.54267962173073,1.66448977417771,1.54253576306102,6.28613284917731e-07,1,"flushany_g","Southern"
0.813399809225301,1.64511634609809,1.04068766392899,1.52040347839265,1.64535615993577,1.7784474845419,1.64580842785722,2.3762010247717e-07,1,"flushany_g","Southern"
0.838,1.76126361692373,1.0423182151851,1.62242513134158,1.76164571358269,1.90948828463676,1.76237349473067,1.08820180980837e-07,1,"flushany_g","Southern"
